"Country","tests_volume_indicator","gdp_per_capita","Continent","CEO2023","WHO2000","democracy_index","corruption_index","year"
"Belize",NA,6060.96822340845,"Region of the Americas (AMR)",NA,0.736,NA,NA,"2021"
"Benin",NA,1360.91147421492,"African Region (AFR)",NA,0.647,4.19,41,"2021"
"Bermuda",NA,111774.669092278,"Other",NA,NA,NA,NA,"2021"
"Bhutan",1.18941113744076,3560.19770457687,"South-East Asian Region (SEAR)",46.57,0.575,5.71,68,"2021"
"Bolivia",0.227968312265118,3345.02300226194,"Region of the Americas (AMR)",NA,0.571,4.65,31,"2021"
"Bosnia and Herzegovina",NA,7230.19883771887,"European Region (EUR)",NA,0.664,5.04,36,"2021"
"Botswana",0.59977157980456,7238.79609753108,"African Region (AFR)",NA,0.338,7.73,61,"2021"
"Brazil",0.171179521363075,7696.78483012849,"Region of the Americas (AMR)",51.85,0.573,6.86,35,"2021"
"British Virgin Islands",NA,NA,"Other",NA,NA,NA,NA,"2021"
"Brunei",NA,NA,"Western Pacific Region (WPR)",NA,0.829,NA,60,"2021"
"Bulgaria",0.920202243916655,12219.3418706779,"European Region (EUR)",47.02,0.639,6.64,43,"2021"
"Burkina Faso",NA,888.781078836766,"African Region (AFR)",NA,0.543,3.84,40,"2021"
"Burundi",NA,221.157803430781,"African Region (AFR)",NA,0.494,2.13,19,"2021"
"Cambodia",NA,1625.23502147979,"Western Pacific Region (WPR)",45.23,0.322,2.9,20,"2021"
"Cameroon",NA,1654.25703730592,"African Region (AFR)",NA,0.357,2.56,25,"2021"
"Canada",0.915423236404934,52515.1998350503,"Region of the Americas (AMR)",55.89,0.881,8.87,77,"2021"
"Cape Verde",NA,3398.16537614695,"African Region (AFR)",NA,0.617,7.65,58,"2021"
"Caribbean small states",NA,10174.3840940633,"Other",NA,NA,NA,NA,"2021"
"Cayman Islands",NA,88475.600468094,"Other",NA,NA,NA,NA,"2021"
"Central African Republic",NA,461.137510956047,"African Region (AFR)",NA,0.156,1.43,25,"2021"
"Central Europe and the Baltics",NA,18814.1458170436,"Other",NA,NA,NA,NA,"2021"
"Chad",NA,685.690315037547,"African Region (AFR)",NA,0.303,1.67,20,"2021"
"Channel Islands",NA,67960.7269955768,"Other",NA,NA,NA,NA,"2021"
"Chile",1.11208030099436,16240.6077759729,"Region of the Americas (AMR)",51.61,0.87,7.92,67,"2021"
"China",NA,12617.5051041181,"Western Pacific Region (WPR)",46.15,0.485,2.21,41,"2021"
"Colombia",0.425058980544132,6182.70709867964,"Region of the Americas (AMR)",48.93,0.91,6.48,37,"2021"
"Comoros",NA,1577.47084066126,"African Region (AFR)",NA,0.592,3.2,25,"2021"
"Congo",NA,NA,"Other",NA,NA,2.79,19,"2021"
"Congo",NA,NA,"Other",NA,NA,2.79,19,"2021"
"Congo",NA,NA,"Other",NA,NA,2.79,19,"2021"
"Congo",NA,NA,"Other",NA,NA,2.79,19,"2021"
"Costa Rica",0.361640919811321,12604.0488374731,"Region of the Americas (AMR)",50.88,0.849,8.07,56,"2021"
"Cote d'Ivoire",0.0363792679290294,2613.3788930684,"Other",NA,NA,4.22,35,"2021"
"Croatia",0.668626376315146,17809.0323901126,"European Region (EUR)",52.4,0.812,6.5,47,"2021"
"Cuba",NA,NA,"Region of the Americas (AMR)",50.73,0.834,2.59,48,"2021"
"Curacao",NA,17979.9982909306,"Other",NA,NA,NA,NA,"2021"
"Cyprus",15.1318199013158,32745.84375,"European Region (EUR)",53.74,0.906,7.43,58,"2021"
"Czechia",4.0549388988573,26822.5141862111,"Other",NA,NA,7.74,56,"2021"
"Democratic Republic of Congo",NA,NA,"Other",NA,NA,1.4,18,"2021"
"Denmark",7.37641753724953,69268.6517983134,"European Region (EUR)",55.46,0.862,9.09,87,"2021"
"Djibouti",NA,3062.55148207643,"Eastern Mediterranean Region (EMR)",NA,0.414,2.74,30,"2021"
"Djibouti",NA,3062.55148207643,"Eastern Mediterranean Region (EMR)",NA,0.414,2.74,30,"2021"
"Dominica",NA,7668.15813216962,"Region of the Americas (AMR)",NA,0.854,NA,55,"2021"
"Dominican Republic",NA,8476.74963892506,"Region of the Americas (AMR)",NA,0.789,6.45,28,"2021"
