"","Country","date","cumulative_number_of_deaths","cumulative_number_of_cases","Cumulative_number_of_tests","tests_cum_weekly"
"9348","Western Pacific Region (WPR)",2022-11-12,163598,44495445,323852803,323852803
"9349","Western Pacific Region (WPR)",2022-11-13,163598,44495445,323852803,323852803
"9350","Western Pacific Region (WPR)",2022-11-14,163598,44495445,323852803,323852803
"9351","Western Pacific Region (WPR)",2022-11-15,163598,44495445,323852803,323852803
"9352","Western Pacific Region (WPR)",2022-11-16,163598,44495445,323852803,323852803
"9353","Western Pacific Region (WPR)",2022-11-17,163598,44495445,323852803,323852803
"9354","Western Pacific Region (WPR)",2022-11-18,163598,44495445,323852803,323852803
"9355","Western Pacific Region (WPR)",2022-11-19,163598,44495445,323852803,323852803
"9356","Western Pacific Region (WPR)",2022-11-20,163598,44495445,323852803,323852803
"9357","Western Pacific Region (WPR)",2022-11-21,163598,44495445,323852803,323852803
"9358","Western Pacific Region (WPR)",2022-11-22,163598,44495445,323852803,323852803
"9359","Western Pacific Region (WPR)",2022-11-23,163598,44495445,323852803,323852803
"9360","Western Pacific Region (WPR)",2022-11-24,163598,44495445,323852803,323852803
"9361","Western Pacific Region (WPR)",2022-11-25,163598,44495445,323852803,323852803
"9362","Western Pacific Region (WPR)",2022-11-26,163598,44495445,323852803,323852803
"9363","Western Pacific Region (WPR)",2022-11-27,163598,44495445,323852803,323852803
"9364","Western Pacific Region (WPR)",2022-11-28,163598,44495445,323852803,323852803
"9365","Western Pacific Region (WPR)",2022-11-29,163598,44495445,323852803,323852803
"9366","Western Pacific Region (WPR)",2022-11-30,163598,44495445,323852803,323852803
"9367","Western Pacific Region (WPR)",2022-12-01,163598,44495445,323852803,323852803
"9368","Western Pacific Region (WPR)",2022-12-02,163598,44495445,323852803,323852803
"9369","Western Pacific Region (WPR)",2022-12-03,163598,44495445,323852803,323852803
"9370","Western Pacific Region (WPR)",2022-12-04,163598,44495445,323852803,323852803
"9371","Western Pacific Region (WPR)",2022-12-05,163598,44495445,323852803,323852803
"9372","Western Pacific Region (WPR)",2022-12-06,163598,44495445,323852803,323852803
"9373","Western Pacific Region (WPR)",2022-12-07,163598,44495445,323852803,323852803
"9374","Western Pacific Region (WPR)",2022-12-08,163598,44495445,323852803,323852803
"9375","Western Pacific Region (WPR)",2022-12-09,163598,44495445,323852803,323852803
"9376","Western Pacific Region (WPR)",2022-12-10,163598,44495445,323852803,323852803
"9377","Western Pacific Region (WPR)",2022-12-11,163598,44495445,323852803,323852803
"9378","Western Pacific Region (WPR)",2022-12-12,163598,44495445,323852803,323852803
"9379","Western Pacific Region (WPR)",2022-12-13,163598,44495445,323852803,323852803
"9380","Western Pacific Region (WPR)",2022-12-14,163598,44495445,323852803,323852803
"9381","Western Pacific Region (WPR)",2022-12-15,163598,44495445,323852803,323852803
"9382","Western Pacific Region (WPR)",2022-12-16,163598,44495445,323852803,323852803
"9383","Western Pacific Region (WPR)",2022-12-17,163598,44495445,323852803,323852803
"9384","Western Pacific Region (WPR)",2022-12-18,163598,44495445,323852803,323852803
"9385","Western Pacific Region (WPR)",2022-12-19,163598,44495445,323852803,323852803
"9386","Western Pacific Region (WPR)",2022-12-20,163598,44495445,323852803,323852803
"9387","Western Pacific Region (WPR)",2022-12-21,163598,44495445,323852803,323852803
"9388","Western Pacific Region (WPR)",2022-12-22,163598,44495445,323852803,323852803
"9389","Western Pacific Region (WPR)",2022-12-23,163598,44495445,323852803,323852803
"9390","Western Pacific Region (WPR)",2022-12-24,163598,44495445,323852803,323852803
"9391","Western Pacific Region (WPR)",2022-12-25,163598,44495445,323852803,323852803
"9392","Western Pacific Region (WPR)",2022-12-26,163598,44495445,323852803,323852803
"9393","Western Pacific Region (WPR)",2022-12-27,163598,44495445,323852803,323852803
"9394","Western Pacific Region (WPR)",2022-12-28,163598,44495445,323852803,323852803
"9395","Western Pacific Region (WPR)",2022-12-29,163598,44495445,323852803,323852803
"9396","Western Pacific Region (WPR)",2022-12-30,163598,44495445,323852803,323852803
"9397","Western Pacific Region (WPR)",2022-12-31,163598,44495445,323852803,323852803
"9398","Western Pacific Region (WPR)",2023-01-01,163598,44495445,323852803,323852803
"9399","Western Pacific Region (WPR)",2023-01-02,163598,44495445,323852803,323852803
"9400","Western Pacific Region (WPR)",2023-01-03,163598,44495445,323852803,323852803
"9401","Western Pacific Region (WPR)",2023-01-04,163598,44495445,323852803,323852803
"9402","Western Pacific Region (WPR)",2023-01-05,163598,44495445,323852803,323852803
"9403","Western Pacific Region (WPR)",2023-01-06,163598,44495445,323852803,323852803
"9404","Western Pacific Region (WPR)",2023-01-07,163598,44495445,323852803,323852803
"9405","Western Pacific Region (WPR)",2023-01-08,163598,44495445,323852803,323852803
"9406","Western Pacific Region (WPR)",2023-01-09,163598,44495445,323852803,323852803
"9407","Western Pacific Region (WPR)",2023-01-10,163598,44495445,323852803,323852803
"9408","Western Pacific Region (WPR)",2023-01-11,163598,44495445,323852803,323852803
"9409","Western Pacific Region (WPR)",2023-01-12,163598,44495445,323852803,323852803
"9410","Western Pacific Region (WPR)",2023-01-13,163598,44495445,323852803,323852803
"9411","Western Pacific Region (WPR)",2023-01-14,163598,44495445,323852803,323852803
"9412","Western Pacific Region (WPR)",2023-01-15,163598,44495445,323852803,323852803
"9413","Western Pacific Region (WPR)",2023-01-16,163598,44495445,323852803,323852803
"9414","Western Pacific Region (WPR)",2023-01-17,163598,44495445,323852803,323852803
"9415","Western Pacific Region (WPR)",2023-01-18,163598,44495445,323852803,323852803
"9416","Western Pacific Region (WPR)",2023-01-19,163598,44495445,323852803,323852803
"9417","Western Pacific Region (WPR)",2023-01-20,163598,44495445,323852803,323852803
"9418","Western Pacific Region (WPR)",2023-01-21,163598,44495445,323852803,323852803
"9419","Western Pacific Region (WPR)",2023-01-22,163598,44495445,323852803,323852803
"9420","Western Pacific Region (WPR)",2023-01-23,163598,44495445,323852803,323852803
"9421","Western Pacific Region (WPR)",2023-01-24,163598,44495445,323852803,323852803
"9422","Western Pacific Region (WPR)",2023-01-25,163598,44495445,323852803,323852803
"9423","Western Pacific Region (WPR)",2023-01-26,163598,44495445,323852803,323852803
"9424","Western Pacific Region (WPR)",2023-01-27,163598,44495445,323852803,323852803
"9425","Western Pacific Region (WPR)",2023-01-28,163598,44495445,323852803,323852803
"9426","Western Pacific Region (WPR)",2023-01-29,163598,44495445,323852803,323852803
"9427","Western Pacific Region (WPR)",2023-01-30,163598,44495445,323852803,323852803
"9428","Western Pacific Region (WPR)",2023-01-31,163598,44495445,323852803,323852803
"9429","Western Pacific Region (WPR)",2023-02-01,163598,44495445,323852803,323852803
"9430","Western Pacific Region (WPR)",2023-02-02,163598,44495445,323852803,323852803
"9431","Western Pacific Region (WPR)",2023-02-03,163598,44495445,323852803,323852803
"9432","Western Pacific Region (WPR)",2023-02-04,163598,44495445,323852803,323852803
"9433","Western Pacific Region (WPR)",2023-02-05,163598,44495445,323852803,323852803
"9434","Western Pacific Region (WPR)",2023-02-06,163598,44495445,323852803,323852803
"9435","Western Pacific Region (WPR)",2023-02-07,163598,44495445,323852803,323852803
"9436","Western Pacific Region (WPR)",2023-02-08,163598,44495445,323852803,323852803
"9437","Western Pacific Region (WPR)",2023-02-09,163598,44495445,323852803,323852803
"9438","Western Pacific Region (WPR)",2023-02-10,163598,44495445,323852803,323852803
"9439","Western Pacific Region (WPR)",2023-02-11,163598,44495445,323852803,323852803
"9440","Western Pacific Region (WPR)",2023-02-12,163598,44495445,323852803,323852803
"9441","Western Pacific Region (WPR)",2023-02-13,163598,44495445,323852803,323852803
"9442","Western Pacific Region (WPR)",2023-02-14,163598,44495445,323852803,323852803
"9443","Western Pacific Region (WPR)",2023-02-15,163598,44495445,323852803,323852803
"9444","Western Pacific Region (WPR)",2023-02-16,163598,44495445,323852803,323852803
"9445","Western Pacific Region (WPR)",2023-02-17,163598,44495445,323852803,323852803
"9446","Western Pacific Region (WPR)",2023-02-18,163598,44495445,323852803,323852803
"9447","Western Pacific Region (WPR)",2023-02-19,163598,44495445,323852803,323852803
"9448","Western Pacific Region (WPR)",2023-02-20,163598,44495445,323852803,323852803
"9449","Western Pacific Region (WPR)",2023-02-21,163598,44495445,323852803,323852803
"9450","Western Pacific Region (WPR)",2023-02-22,163598,44495445,323852803,323852803
"9451","Western Pacific Region (WPR)",2023-02-23,163598,44495445,323852803,323852803
"9452","Western Pacific Region (WPR)",2023-02-24,163598,44495445,323852803,323852803
"9453","Western Pacific Region (WPR)",2023-02-25,163598,44495445,323852803,323852803
"9454","Western Pacific Region (WPR)",2023-02-26,163598,44495445,323852803,323852803
"9455","Western Pacific Region (WPR)",2023-02-27,163598,44495445,323852803,323852803
"9456","Western Pacific Region (WPR)",2023-02-28,163598,44495445,323852803,323852803
"9457","Western Pacific Region (WPR)",2023-03-01,163598,44495445,323852803,323852803
"9458","Western Pacific Region (WPR)",2023-03-02,163598,44495445,323852803,323852803
"9459","Western Pacific Region (WPR)",2023-03-03,163598,44495445,323852803,323852803
"9460","Western Pacific Region (WPR)",2023-03-04,163598,44495445,323852803,323852803
"9461","Western Pacific Region (WPR)",2023-03-05,163598,44495445,323852803,323852803
"9462","Western Pacific Region (WPR)",2023-03-06,163598,44495445,323852803,323852803
"9463","Western Pacific Region (WPR)",2023-03-07,163598,44495445,323852803,323852803
"9464","Western Pacific Region (WPR)",2023-03-08,163598,44495445,323852803,323852803
"9465","Western Pacific Region (WPR)",2023-03-09,163598,44495445,323852803,323852803
"9466","Western Pacific Region (WPR)",2023-03-10,163598,44495445,323852803,323852803
"9467","Western Pacific Region (WPR)",2023-03-11,163598,44495445,323852803,323852803
"9468","Western Pacific Region (WPR)",2023-03-12,163598,44495445,323852803,323852803
"9469","Western Pacific Region (WPR)",2023-03-13,163598,44495445,323852803,323852803
"9470","Western Pacific Region (WPR)",2023-03-14,163598,44495445,323852803,323852803
"9471","Western Pacific Region (WPR)",2023-03-15,163598,44495445,323852803,323852803
"9472","Western Pacific Region (WPR)",2023-03-16,163598,44495445,323852803,323852803
"9473","Western Pacific Region (WPR)",2023-03-17,163598,44495445,323852803,323852803
"9474","Western Pacific Region (WPR)",2023-03-18,163598,44495445,323852803,323852803
"9475","Western Pacific Region (WPR)",2023-03-19,163598,44495445,323852803,323852803
"9476","Western Pacific Region (WPR)",2023-03-20,163598,44495445,323852803,323852803
"9477","Western Pacific Region (WPR)",2023-03-21,163598,44495445,323852803,323852803
"9478","Western Pacific Region (WPR)",2023-03-22,163598,44495445,323852803,323852803
"9479","Western Pacific Region (WPR)",2023-03-23,163598,44495445,323852803,323852803
"9480","Western Pacific Region (WPR)",2023-03-24,163598,44495445,323852803,323852803
"9481","Western Pacific Region (WPR)",2023-03-25,163598,44495445,323852803,323852803
"9482","Western Pacific Region (WPR)",2023-03-26,163598,44495445,323852803,323852803
"9483","Western Pacific Region (WPR)",2023-03-27,163598,44495445,323852803,323852803
"9484","Western Pacific Region (WPR)",2023-03-28,163598,44495445,323852803,323852803
"9485","Western Pacific Region (WPR)",2023-03-29,163598,44495445,323852803,323852803
"9486","Western Pacific Region (WPR)",2023-03-30,163598,44495445,323852803,323852803
"9487","Western Pacific Region (WPR)",2023-03-31,163598,44495445,323852803,323852803
"9488","Western Pacific Region (WPR)",2023-04-01,163598,44495445,323852803,323852803
"9489","Western Pacific Region (WPR)",2023-04-02,163598,44495445,323852803,323852803
"9490","Western Pacific Region (WPR)",2023-04-03,163598,44495445,323852803,323852803
"9491","Western Pacific Region (WPR)",2023-04-04,163598,44495445,323852803,323852803
"9492","Western Pacific Region (WPR)",2023-04-05,163598,44495445,323852803,323852803
"9493","Western Pacific Region (WPR)",2023-04-06,163598,44495445,323852803,323852803
"9494","Western Pacific Region (WPR)",2023-04-07,163598,44495445,323852803,323852803
"9495","Western Pacific Region (WPR)",2023-04-08,163598,44495445,323852803,323852803
"9496","Western Pacific Region (WPR)",2023-04-09,163598,44495445,323852803,323852803
"9497","Western Pacific Region (WPR)",2023-04-10,163598,44495445,323852803,323852803
"9498","Western Pacific Region (WPR)",2023-04-11,163598,44495445,323852803,323852803
"9499","Western Pacific Region (WPR)",2023-04-12,163598,44495445,323852803,323852803
"9500","Western Pacific Region (WPR)",2023-04-13,163598,44495445,323852803,323852803
"9501","Western Pacific Region (WPR)",2023-04-14,163598,44495445,323852803,323852803
"9502","Western Pacific Region (WPR)",2023-04-15,163598,44495445,323852803,323852803
"9503","Western Pacific Region (WPR)",2023-04-16,163598,44495445,323852803,323852803
"9504","Western Pacific Region (WPR)",2023-04-17,163598,44495445,323852803,323852803
"9505","Western Pacific Region (WPR)",2023-04-18,163598,44495445,323852803,323852803
"9506","Western Pacific Region (WPR)",2023-04-19,163598,44495445,323852803,323852803
"9507","Western Pacific Region (WPR)",2023-04-20,163598,44495445,323852803,323852803
"9508","Western Pacific Region (WPR)",2023-04-21,163598,44495445,323852803,323852803
"9509","Western Pacific Region (WPR)",2023-04-22,163598,44495445,323852803,323852803
"9510","Western Pacific Region (WPR)",2023-04-23,163598,44495445,323852803,323852803
"9511","Western Pacific Region (WPR)",2023-04-24,163598,44495445,323852803,323852803
"9512","Western Pacific Region (WPR)",2023-04-25,163598,44495445,323852803,323852803
"9513","Western Pacific Region (WPR)",2023-04-26,163598,44495445,323852803,323852803
"9514","Western Pacific Region (WPR)",2023-04-27,163598,44495445,323852803,323852803
"9515","Western Pacific Region (WPR)",2023-04-28,163598,44495445,323852803,323852803
"9516","Western Pacific Region (WPR)",2023-04-29,163598,44495445,323852803,323852803
"9517","Western Pacific Region (WPR)",2023-04-30,163598,44495445,323852803,323852803
"9518","Western Pacific Region (WPR)",2023-05-01,163598,44495445,323852803,323852803
"9519","Western Pacific Region (WPR)",2023-05-02,163598,44495445,323852803,323852803
"9520","Western Pacific Region (WPR)",2023-05-03,163598,44495445,323852803,323852803
"9521","Western Pacific Region (WPR)",2023-05-04,163598,44495445,323852803,323852803
"9522","Western Pacific Region (WPR)",2023-05-05,163598,44495445,323852803,323852803
"9523","Western Pacific Region (WPR)",2023-05-06,163598,44495445,323852803,323852803
"9524","Western Pacific Region (WPR)",2023-05-07,163598,44495445,323852803,323852803
"9525","Western Pacific Region (WPR)",2023-05-08,163598,44495445,323852803,323852803
"9526","Western Pacific Region (WPR)",2023-05-09,163598,44495445,323852803,323852803
"9527","Western Pacific Region (WPR)",2023-05-10,163598,44495445,323852803,323852803
"9528","Western Pacific Region (WPR)",2023-05-11,163598,44495445,323852803,323852803
"9529","Western Pacific Region (WPR)",2023-05-12,163598,44495445,323852803,323852803
"9530","Western Pacific Region (WPR)",2023-05-13,163598,44495445,323852803,323852803
"9531","Western Pacific Region (WPR)",2023-05-14,163598,44495445,323852803,323852803
"9532","Western Pacific Region (WPR)",2023-05-15,163598,44495445,323852803,323852803
"9533","Western Pacific Region (WPR)",2023-05-16,163598,44495445,323852803,323852803
"9534","Western Pacific Region (WPR)",2023-05-17,163598,44495445,323852803,323852803
"9535","Western Pacific Region (WPR)",2023-05-18,163598,44495445,323852803,323852803
"9536","Western Pacific Region (WPR)",2023-05-19,163598,44495445,323852803,323852803
"9537","Western Pacific Region (WPR)",2023-05-20,163598,44495445,323852803,323852803
"9538","Western Pacific Region (WPR)",2023-05-21,163598,44495445,323852803,323852803
"9539","Western Pacific Region (WPR)",2023-05-22,163598,44495445,323852803,323852803
"9540","Western Pacific Region (WPR)",2023-05-23,163598,44495445,323852803,323852803
"9541","Western Pacific Region (WPR)",2023-05-24,163598,44495445,323852803,323852803
"9542","Western Pacific Region (WPR)",2023-05-25,163598,44495445,323852803,323852803
"9543","Western Pacific Region (WPR)",2023-05-26,163598,44495445,323852803,323852803
"9544","Western Pacific Region (WPR)",2023-05-27,163598,44495445,323852803,323852803
"9545","Western Pacific Region (WPR)",2023-05-28,163598,44495445,323852803,323852803
"9546","Western Pacific Region (WPR)",2023-05-29,163598,44495445,323852803,323852803
"9547","Western Pacific Region (WPR)",2023-05-30,163598,44495445,323852803,323852803
"9548","Western Pacific Region (WPR)",2023-05-31,163598,44495445,323852803,323852803
"9549","Western Pacific Region (WPR)",2023-06-01,163598,44495445,323852803,323852803
"9550","Western Pacific Region (WPR)",2023-06-02,163598,44495445,323852803,323852803
"9551","Western Pacific Region (WPR)",2023-06-03,163598,44495445,323852803,323852803
"9552","Western Pacific Region (WPR)",2023-06-04,163598,44495445,323852803,323852803
"9553","Western Pacific Region (WPR)",2023-06-05,163598,44495445,323852803,323852803
"9554","Western Pacific Region (WPR)",2023-06-06,163598,44495445,323852803,323852803
"9555","Western Pacific Region (WPR)",2023-06-07,163598,44495445,323852803,323852803
"9556","Western Pacific Region (WPR)",2023-06-08,163598,44495445,323852803,323852803
"9557","Western Pacific Region (WPR)",2023-06-09,163598,44495445,323852803,323852803
"9558","Western Pacific Region (WPR)",2023-06-10,163598,44495445,323852803,323852803
"9559","Western Pacific Region (WPR)",2023-06-11,163598,44495445,323852803,323852803
"9560","Western Pacific Region (WPR)",2023-06-12,163598,44495445,323852803,323852803
"9561","Western Pacific Region (WPR)",2023-06-13,163598,44495445,323852803,323852803
"9562","Western Pacific Region (WPR)",2023-06-14,163598,44495445,323852803,323852803
"9563","Western Pacific Region (WPR)",2023-06-15,163598,44495445,323852803,323852803
"9564","Western Pacific Region (WPR)",2023-06-16,163598,44495445,323852803,323852803
"9565","Western Pacific Region (WPR)",2023-06-17,163598,44495445,323852803,323852803
"9566","Western Pacific Region (WPR)",2023-06-18,163598,44495445,323852803,323852803
"9567","Western Pacific Region (WPR)",2023-06-19,163598,44495445,323852803,323852803
"9568","Western Pacific Region (WPR)",2023-06-20,163598,44495445,323852803,323852803
"9569","Western Pacific Region (WPR)",2023-06-21,163598,44495445,323852803,323852803
"9570","Western Pacific Region (WPR)",2023-06-22,163598,44495445,323852803,323852803
"9571","Western Pacific Region (WPR)",2023-06-23,163598,44495445,323852803,323852803
"9572","Western Pacific Region (WPR)",2023-06-24,163598,44495445,323852803,323852803
"9573","Western Pacific Region (WPR)",2023-06-25,163598,44495445,323852803,323852803
"9574","Western Pacific Region (WPR)",2023-06-26,163598,44495445,323852803,323852803
"9575","Western Pacific Region (WPR)",2023-06-27,163598,44495445,323852803,323852803
"9576","Western Pacific Region (WPR)",2023-06-28,163598,44495445,323852803,323852803
"9577","Western Pacific Region (WPR)",2023-06-29,163598,44495445,323852803,323852803
"9578","Western Pacific Region (WPR)",2023-06-30,163598,44495445,323852803,323852803
"9579","Western Pacific Region (WPR)",2023-07-01,163598,44495445,323852803,323852803
"9580","Western Pacific Region (WPR)",2023-07-02,163598,44495445,323852803,323852803
"9581","Western Pacific Region (WPR)",2023-07-03,163598,44495445,323852803,323852803
"9582","Western Pacific Region (WPR)",2023-07-04,163598,44495445,323852803,323852803
"9583","Western Pacific Region (WPR)",2023-07-05,163598,44495445,323852803,323852803
"9584","Western Pacific Region (WPR)",2023-07-06,163598,44495445,323852803,323852803
"9585","Western Pacific Region (WPR)",2023-07-07,163598,44495445,323852803,323852803
"9586","Western Pacific Region (WPR)",2023-07-08,163598,44495445,323852803,323852803
"9587","Western Pacific Region (WPR)",2023-07-09,163598,44495445,323852803,323852803
"9588","Western Pacific Region (WPR)",2023-07-10,163598,44495445,323852803,323852803
"9589","Western Pacific Region (WPR)",2023-07-11,163598,44495445,323852803,323852803
"9590","Western Pacific Region (WPR)",2023-07-12,163598,44495445,323852803,323852803
"9591","Western Pacific Region (WPR)",2023-07-13,163598,44495445,323852803,323852803
"9592","Western Pacific Region (WPR)",2023-07-14,163598,44495445,323852803,323852803
"9593","Western Pacific Region (WPR)",2023-07-15,163598,44495445,323852803,323852803
"9594","Western Pacific Region (WPR)",2023-07-16,163598,44495445,323852803,323852803
"9595","Western Pacific Region (WPR)",2023-07-17,163598,44495445,323852803,323852803
"9596","Western Pacific Region (WPR)",2023-07-18,163598,44495445,323852803,323852803
"9597","Western Pacific Region (WPR)",2023-07-19,163598,44495445,323852803,323852803
"9598","Western Pacific Region (WPR)",2023-07-20,163598,44495445,323852803,323852803
"9599","Western Pacific Region (WPR)",2023-07-21,163598,44495445,323852803,323852803
"9600","Western Pacific Region (WPR)",2023-07-22,163598,44495445,323852803,323852803
"9601","Western Pacific Region (WPR)",2023-07-23,163598,44495445,323852803,323852803
"9602","Western Pacific Region (WPR)",2023-07-24,163598,44495445,323852803,323852803
"9603","Western Pacific Region (WPR)",2023-07-25,163598,44495445,323852803,323852803
"9604","Western Pacific Region (WPR)",2023-07-26,163598,44495445,323852803,323852803
"9605","Western Pacific Region (WPR)",2023-07-27,163598,44495445,323852803,323852803
"9606","Western Pacific Region (WPR)",2023-07-28,163598,44495445,323852803,323852803
"9607","Western Pacific Region (WPR)",2023-07-29,163598,44495445,323852803,323852803
"9608","Western Pacific Region (WPR)",2023-07-30,163598,44495445,323852803,323852803
"9609","Western Pacific Region (WPR)",2023-07-31,163598,44495445,323852803,323852803
"9610","Western Pacific Region (WPR)",2023-08-01,163598,44495445,323852803,323852803
"9611","Western Pacific Region (WPR)",2023-08-02,163598,44495445,323852803,323852803
"9612","Western Pacific Region (WPR)",2023-08-03,163598,44495445,323852803,323852803
"9613","Western Pacific Region (WPR)",2023-08-04,163598,44495445,323852803,323852803
"9614","Western Pacific Region (WPR)",2023-08-05,163598,44495445,323852803,323852803
"9615","Western Pacific Region (WPR)",2023-08-06,163598,44495445,323852803,323852803
"9616","Western Pacific Region (WPR)",2023-08-07,163598,44495445,323852803,323852803
"9617","Western Pacific Region (WPR)",2023-08-08,163598,44495445,323852803,323852803
"9618","Western Pacific Region (WPR)",2023-08-09,163598,44495445,323852803,323852803
"9619","Western Pacific Region (WPR)",2023-08-10,163598,44495445,323852803,323852803
"9620","Western Pacific Region (WPR)",2023-08-11,163598,44495445,323852803,323852803
"9621","Western Pacific Region (WPR)",2023-08-12,163598,44495445,323852803,323852803
"9622","Western Pacific Region (WPR)",2023-08-13,163598,44495445,323852803,323852803
"9623","Western Pacific Region (WPR)",2023-08-14,163598,44495445,323852803,323852803
"9624","Western Pacific Region (WPR)",2023-08-15,163598,44495445,323852803,323852803
"9625","Western Pacific Region (WPR)",2023-08-16,163598,44495445,323852803,323852803
"9626","Western Pacific Region (WPR)",2023-08-17,163598,44495445,323852803,323852803
"9627","Western Pacific Region (WPR)",2023-08-18,163598,44495445,323852803,323852803
"9628","Western Pacific Region (WPR)",2023-08-19,163598,44495445,323852803,323852803
"9629","Western Pacific Region (WPR)",2023-08-20,163598,44495445,323852803,323852803
"9630","Western Pacific Region (WPR)",2023-08-21,163598,44495445,323852803,323852803
"9631","Western Pacific Region (WPR)",2023-08-22,163598,44495445,323852803,323852803
"9632","Western Pacific Region (WPR)",2023-08-23,163598,44495445,323852803,323852803
"9633","Western Pacific Region (WPR)",2023-08-24,163598,44495445,323852803,323852803
"9634","Western Pacific Region (WPR)",2023-08-25,163598,44495445,323852803,323852803
"9635","Western Pacific Region (WPR)",2023-08-26,163598,44495445,323852803,323852803
"9636","Western Pacific Region (WPR)",2023-08-27,163598,44495445,323852803,323852803
"9637","Western Pacific Region (WPR)",2023-08-28,163598,44495445,323852803,323852803
"9638","Western Pacific Region (WPR)",2023-08-29,163598,44495445,323852803,323852803
"9639","Western Pacific Region (WPR)",2023-08-30,163598,44495445,323852803,323852803
"9640","Western Pacific Region (WPR)",2023-08-31,163598,44495445,323852803,323852803
"9641","Western Pacific Region (WPR)",2023-09-01,163598,44495445,323852803,323852803
"9642","Western Pacific Region (WPR)",2023-09-02,163598,44495445,323852803,323852803
"9643","Western Pacific Region (WPR)",2023-09-03,163598,44495445,323852803,323852803
"9644","Western Pacific Region (WPR)",2023-09-04,163598,44495445,323852803,323852803
"9645","Western Pacific Region (WPR)",2023-09-05,163598,44495445,323852803,323852803
"9646","Western Pacific Region (WPR)",2023-09-06,163598,44495445,323852803,323852803
"9647","Western Pacific Region (WPR)",2023-09-07,163598,44495445,323852803,323852803
"9648","Western Pacific Region (WPR)",2023-09-08,163598,44495445,323852803,323852803
"9649","Western Pacific Region (WPR)",2023-09-09,163598,44495445,323852803,323852803
"9650","Western Pacific Region (WPR)",2023-09-10,163598,44495445,323852803,323852803
"9651","Western Pacific Region (WPR)",2023-09-11,163598,44495445,323852803,323852803
"9652","Western Pacific Region (WPR)",2023-09-12,163598,44495445,323852803,323852803
"9653","Western Pacific Region (WPR)",2023-09-13,163598,44495445,323852803,323852803
"9654","Western Pacific Region (WPR)",2023-09-14,163598,44495445,323852803,323852803
"9655","Western Pacific Region (WPR)",2023-09-15,163598,44495445,323852803,323852803
"9656","Western Pacific Region (WPR)",2023-09-16,163598,44495445,323852803,323852803
"9657","Western Pacific Region (WPR)",2023-09-17,163598,44495445,323852803,323852803
"9658","Western Pacific Region (WPR)",2023-09-18,163598,44495445,323852803,323852803
"9659","Western Pacific Region (WPR)",2023-09-19,163598,44495445,323852803,323852803
"9660","Western Pacific Region (WPR)",2023-09-20,163598,44495445,323852803,323852803
"9661","Western Pacific Region (WPR)",2023-09-21,163598,44495445,323852803,323852803
"9662","Western Pacific Region (WPR)",2023-09-22,163598,44495445,323852803,323852803
"9663","Western Pacific Region (WPR)",2023-09-23,163598,44495445,323852803,323852803
"9664","Western Pacific Region (WPR)",2023-09-24,163598,44495445,323852803,323852803
"9665","Western Pacific Region (WPR)",2023-09-25,163598,44495445,323852803,323852803
"9666","Western Pacific Region (WPR)",2023-09-26,163598,44495445,323852803,323852803
"9667","Western Pacific Region (WPR)",2023-09-27,163598,44495445,323852803,323852803
"9668","Western Pacific Region (WPR)",2023-09-28,163598,44495445,323852803,323852803
"9669","Western Pacific Region (WPR)",2023-09-29,163598,44495445,323852803,323852803
"9670","Western Pacific Region (WPR)",2023-09-30,163598,44495445,323852803,323852803
"9671","Western Pacific Region (WPR)",2023-10-01,163598,44495445,323852803,323852803
"9672","Western Pacific Region (WPR)",2023-10-02,163598,44495445,323852803,323852803
"9673","Western Pacific Region (WPR)",2023-10-03,163598,44495445,323852803,323852803
"9674","Western Pacific Region (WPR)",2023-10-04,163598,44495445,323852803,323852803
"9675","Western Pacific Region (WPR)",2023-10-05,163598,44495445,323852803,323852803
"9676","Western Pacific Region (WPR)",2023-10-06,163598,44495445,323852803,323852803
"9677","Western Pacific Region (WPR)",2023-10-07,163598,44495445,323852803,323852803
"9678","Western Pacific Region (WPR)",2023-10-08,163598,44495445,323852803,323852803
"9679","Western Pacific Region (WPR)",2023-10-09,163598,44495445,323852803,323852803
"9680","Western Pacific Region (WPR)",2023-10-10,163598,44495445,323852803,323852803
"9681","Western Pacific Region (WPR)",2023-10-11,163598,44495445,323852803,323852803
"9682","Western Pacific Region (WPR)",2023-10-12,163598,44495445,323852803,323852803
"9683","Western Pacific Region (WPR)",2023-10-13,163598,44495445,323852803,323852803
"9684","Western Pacific Region (WPR)",2023-10-14,163598,44495445,323852803,323852803
"9685","Western Pacific Region (WPR)",2023-10-15,163598,44495445,323852803,323852803
"9686","Western Pacific Region (WPR)",2023-10-16,163598,44495445,323852803,323852803
"9687","Western Pacific Region (WPR)",2023-10-17,163598,44495445,323852803,323852803
"9688","Western Pacific Region (WPR)",2023-10-18,163598,44495445,323852803,323852803
"9689","Western Pacific Region (WPR)",2023-10-19,163598,44495445,323852803,323852803
"9690","Western Pacific Region (WPR)",2023-10-20,163598,44495445,323852803,323852803
"9691","Western Pacific Region (WPR)",2023-10-21,163598,44495445,323852803,323852803
"9692","Western Pacific Region (WPR)",2023-10-22,163598,44495445,323852803,323852803
"9693","Western Pacific Region (WPR)",2023-10-23,163598,44495445,323852803,323852803
"9694","Western Pacific Region (WPR)",2023-10-24,163598,44495445,323852803,323852803
"9695","Western Pacific Region (WPR)",2023-10-25,163598,44495445,323852803,323852803
